id,fecha,resultado,color,modo,mi_rating,rival_rating
sq7gzoOE,2026-08-24 01:44:22.139,win,white,blitz,2525,1783
3YSYoodm,2026-08-24 01:44:22.139,win,black,blitz,2525,1383
vFQNEcwE,2026-08-24 01:44:22.139,win,white,blitz,2525,1621
z7wwaz2b,2026-08-24 01:44:22.138,loss,black,blitz,2525,1804
Dds8RfMI,2026-08-24 01:44:22.138,loss,black,blitz,2525,1782
lZoDIXIm,2026-08-24 01:44:22.138,win,white,blitz,2525,849
MJEOvTbP,2026-08-24 01:44:22.138,win,black,blitz,2525,1724
WoJIdICO,2026-08-24 01:44:22.138,win,white,blitz,2525,1361
4AEIucUL,2026-08-24 01:44:22.138,loss,white,blitz,2525,2561
uO1RbjoA,2026-08-24 01:44:22.138,win,white,blitz,2525,1110
1I2sGV8m,2026-08-24 01:44:22.138,win,black,blitz,2525,1829
ECFXfuRF,2026-08-24 00:48:52.852,win,black,bullet,2982,2235
jll0tJjp,2026-08-24 00:45:12.533,win,white,bullet,2982,2235
nPgVC8iZ,2026-08-23 09:39:14.952,win,white,blitz,2525,1909
Bg7CUoq0,2026-08-23 09:39:14.951,win,black,blitz,2525,1807
sZhGunmt,2026-08-23 09:39:14.951,win,white,blitz,2525,1672
zgO5UAuo,2026-08-23 09:39:14.951,win,white,blitz,2525,1258
Z6xZQ9y2,2026-08-23 09:39:14.951,win,black,blitz,2525,1556
FlN112fR,2026-08-23 09:39:14.951,win,white,blitz,2525,1761
o87Cz4wW,2026-08-23 09:39:14.951,win,white,blitz,2525,1706
9fisrxI6,2026-08-23 09:39:14.951,win,black,blitz,2525,1609
S22xeQQ6,2026-08-23 09:39:14.951,win,black,blitz,2525,1066
7lFIeqpK,2026-08-23 08:16:38.985,win,black,blitz,2525,1013
3soTW2AA,2026-08-23 08:16:38.985,win,black,blitz,2525,1556
3I3gNq5j,2026-08-23 08:16:38.985,win,white,blitz,2525,1622
hshN8LRd,2026-08-23 08:16:38.985,win,white,blitz,2525,1149
iPRX2GNo,2026-08-23 08:16:38.985,win,black,blitz,2525,1455
7el4C4Ik,2026-08-23 08:16:38.985,win,white,blitz,2525,1914
QgtQPeA7,2026-08-23 08:16:38.985,win,black,blitz,2525,1793
M6p2aJ2U,2026-08-23 08:16:38.985,win,black,blitz,2525,1817
doSyd8HB,2026-08-23 08:16:38.985,win,white,blitz,2525,1446
vTUIrDoB,2026-08-23 08:16:38.985,win,white,blitz,2525,1891
bbMIsQgy,2026-08-23 08:16:38.985,win,black,blitz,2525,1500
rH9rXsne,2026-08-23 08:16:38.985,win,black,blitz,2525,1885
P534XDCh,2026-08-23 08:16:38.985,win,white,blitz,2525,1627
orFcynfS,2026-08-23 08:16:38.985,win,white,blitz,2525,2153
guuWvG9q,2026-08-23 06:45:06.353,win,black,rapid,2639,2570
3wgoP7fo,2026-08-23 06:33:14.883,win,black,blitz,2525,1609
jsyJPIXp,2026-08-23 06:33:14.882,win,black,blitz,2525,1941
XGeMA1Wk,2026-08-23 06:33:14.882,win,white,blitz,2525,2021
v0OfJ2hU,2026-08-23 06:33:14.882,win,white,blitz,2525,953
2HDbexvB,2026-08-23 06:33:14.882,win,black,blitz,2525,1644
ssTGjm2m,2026-08-23 06:33:14.882,win,white,blitz,2525,1705
YfWBCpxX,2026-08-23 06:33:14.882,win,black,blitz,2525,849
qIRuISgr,2026-08-23 06:33:14.882,draw,black,blitz,2525,1633
pwEkOoRU,2026-08-23 06:33:14.882,win,black,blitz,2525,1483
i6AXBxwF,2026-08-23 06:33:14.882,win,white,blitz,2525,1810
yhK7SlC4,2026-08-23 06:33:14.882,draw,white,blitz,2525,2106
5iX0vjpc,2026-08-23 06:33:14.882,win,white,blitz,2525,1557
mCh9tF7W,2026-08-23 06:33:14.882,win,white,blitz,2525,853
qaObQdfD,2026-08-23 06:33:14.882,win,black,blitz,2525,1575
PEzFfP8A,2026-08-23 06:31:30.490,win,white,rapid,2629,2575
KcPbDL7f,2026-08-23 06:16:28.289,win,black,rapid,2618,2580
0VLVjkdR,2026-08-23 06:09:13.752,win,white,threeCheck,2321,1966
qDUmxvki,2026-08-23 06:07:53.497,win,black,chess960,2414,2095
0G3ujFwN,2026-08-23 06:05:52.515,win,white,kingOfTheHill,2417,2011
fxyaEfKv,2026-08-23 05:09:06.260,win,black,blitz,2525,1892
BK2ycMZN,2026-08-23 05:09:06.260,win,white,blitz,2525,1851
2b4tmhe4,2026-08-23 05:09:06.260,win,black,blitz,2525,1573
